what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1489038965305
error,log,,,"Error starting server Tomcat v6.0 Server at localhost",1489038968199
error,log,,,"Port 8080 required by Tomcat v6.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1489038968202
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489038968261
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489038972366
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1489038972892
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1489038974413
started,bundle,org.maven.ide.eclipse.editor.xml,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor.xml",1489038974561
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1489038974704
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1489038975027
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489038979707
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1489038979743
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489038981911
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489038983348
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1489038983392
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489038985556
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489038986277
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1489038986313
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489038987749
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1489038989937
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1489038991039
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1489038991740
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1489038994428
opened,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1489038995454
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1489038995666
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1489039006963
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039007117
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039008202
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.run",1489039008283
started,bundle,org.maven.ide.eclipse.launching,0.10.0.20100209-0800,"org.maven.ide.eclipse.launching",1489039008522
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1489039008616
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1489039009345
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1489039010809
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039011640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039015706
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1489039016765
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1489039018876
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1489039020471
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1489039021947
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039029465
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039029495
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039034744
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039037732
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1489039042511
started,bundle,org.eclipse.jst.jee.ejb,1.0.201.v201002021057,"org.eclipse.jst.jee.ejb",1489039044088
started,bundle,org.eclipse.jst.jee.web,1.0.201.v201002031231,"org.eclipse.jst.jee.web",1489039044092
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039044460
started,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1489039044551
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.jst.server.preview.adapter",1489039044556
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039048639
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1489039048686
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1489039048881
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1489039049226
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1489039049335
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1489039054593
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1489039055982
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1489039058275
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039059003
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1489039059052
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1489039061850
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1489039070045
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1489039073161
